time_truth_sec,pos_east_truth_m,pos_north_truth_m,pos_up_truth_m,vel_east_truth_mps,vel_north_truth_mps,vel_up_truth_mps,yaw_truth_rad,pitch_truth_rad,roll_truth_rad
0.3,8.41999999999942,2.90510124742402e-06,0,-2.76900336423373e-12,9.37129434652891e-06,0,1.57079661005959,8.77659864643296e-20,9.04804747001666e-15
0.31,8.41999999999939,2.99881419088931e-06,0,-2.85697800984584e-12,9.37129434652888e-06,0,1.57079662489791,8.77782993493978e-20,9.04931832408323e-15
0.32,8.41999999999936,3.0925271343546e-06,0,-2.9477455015816e-12,9.37129434652886e-06,0,1.57079663985201,8.72443890376984e-20,8.99427745436362e-15
0.33,8.41999999999933,3.18624007781989e-06,0,-3.04130583944101e-12,9.37129434652883e-06,0,1.57079665490004,8.61306152788791e-20,8.87945675890381e-15
0.34,8.4199999999993,3.27995302128518e-06,0,-3.13765902134324e-12,9.3712943465288e-06,0,1.57079667002011,8.44033378476331e-20,8.70138813574449e-15
0.35,8.41999999999927,3.37366596475046e-06,0,-3.23680505144995e-12,9.37129434652877e-06,0,1.57079668519038,8.20289165425698e-20,8.45660348292123e-15
0.36,8.41999999999924,3.46737890821575e-06,0,-3.33874392768032e-12,9.37129434652873e-06,0,1.57079670038898,7.89737111849215e-20,8.14163469846485e-15
0.37,8.4199999999992,3.56109185168104e-06,0,-3.4434756479535e-12,9.3712943465287e-06,0,1.57079671559403,7.52040816170881e-20,7.75301368040166e-15
0.38,8.41999999999917,3.65480479514633e-06,0,-3.55100021643118e-12,9.37129434652866e-06,0,1.57079673078368,7.06863877010202e-20,7.28727232675382e-15
0.39,8.41999999999913,3.74851773861161e-06,0,-3.66131762895166e-12,9.37129434652862e-06,0,1.57079674593607,6.53869893164408e-20,6.74094253553974e-15
0.4,8.41999999999909,3.8422306820769e-06,0,-3.7744278875958e-12,9.37129434652857e-06,0,1.57079676102931,5.92722463589014e-20,6.11055620477445e-15
0.41,8.41999999999905,3.93594362554218e-06,0,-3.89033099236359e-12,9.37129434652853e-06,0,1.57079677604157,5.23085187376813e-20,5.39264523247008e-15
0.42,8.41999999999902,4.02965656900747e-06,0,-4.00902694325503e-12,9.37129434652848e-06,0,1.57079679095095,4.44621663735207e-20,4.58374151663634e-15
0.43,8.41999999999897,4.12336951247275e-06,0,-4.13051574027012e-12,9.37129434652843e-06,0,1.57079680573561,3.56995491961912e-20,3.68037695528102e-15
0.44,8.41999999999893,4.21708245593804e-06,0,-4.25479738340886e-12,9.37129434652837e-06,0,1.57079682037368,2.59870271419081e-20,2.67908344641053e-15
0.45,8.41999999999889,4.31079539940332e-06,0,-4.38187187059041e-12,9.37129434652832e-06,0,1.57079683484329,1.52909601505757e-20,1.57639288803051e-15
0.46,8.41999999999885,4.4045083428686e-06,0,-4.51173920597646e-12,9.37129434652826e-06,0,1.57079684912258,3.57770816287494e-21,3.68837178146424e-16
0.47,8.4199999999988,4.49822128633389e-06,0,-4.64350584544153e-12,9.3712943465282e-06,0,1.57079686309317,-9.1783568090771e-21,-9.46220292522484e-16
0.48,8.41999999999875,4.59193422979917e-06,0,-4.77467895290212e-12,9.37129434652813e-06,0,1.5707968769477,-2.29226814866663e-20,-2.36315825944168e-15
0.49,8.4199999999987,4.68564717326445e-06,0,-4.90511109214174e-12,9.37129434652807e-06,0,1.57079689059377,-3.75548633855956e-20,-3.87162815233848e-15
0.5,8.41999999999866,4.77936011672973e-06,0,-5.03480226316039e-12,9.371294346528e-06,0,1.57079690403721,-5.29739802642393e-20,-5.46122566566689e-15
0.51,8.4199999999986,4.87307306019501e-06,0,-5.16375246387721e-12,9.37129434652793e-06,0,1.57079691728389,-6.90791099479309e-20,-7.12154649386673e-15
0.52,8.41999999999855,4.96678600366029e-06,0,-5.29196169637307e-12,9.37129434652787e-06,0,1.57079693033968,-8.5769330326266e-20,-8.8421863313642e-15
0.53,8.4199999999985,5.06049894712556e-06,0,-5.41942996064796e-12,9.3712943465278e-06,0,1.57079694321042,-1.02943719350534e-19,-1.06127408725724e-14
0.54,8.41999999999844,5.15421189059084e-06,0,-5.54615725670187e-12,9.37129434652772e-06,0,1.57079695590197,-1.20501355031283e-19,-1.24228058118919e-14
0.55,8.41999999999839,5.24792483405612e-06,0,-5.67214358245397e-12,9.37129434652765e-06,0,1.5707969684202,-1.38341315436012e-19,-1.42619768437111e-14
0.56,8.41999999999833,5.3416377775214e-06,0,-5.79738894206595e-12,9.37129434652758e-06,0,1.57079698077097,-1.56362678686995e-19,-1.61198496624068e-14
0.57,8.41999999999827,5.43535072098667e-06,0,-5.9218933313761e-12,9.3712943465275e-06,0,1.57079699296013,-1.74464522959237e-19,-1.79860199623449e-14
0.58,8.41999999999821,5.52906366445195e-06,0,-6.04565675038444e-12,9.37129434652742e-06,0,1.57079700499354,-1.92545926478558e-19,-1.98500834378801e-14
0.59,8.41999999999815,5.62277660791722e-06,0,-6.16867920325266e-12,9.37129434652735e-06,0,1.57079701687707,-2.10505967519806e-19,-2.17016357833569e-14
0.6,8.41999999999809,5.71648955138249e-06,0,-6.29096068581905e-12,9.37129434652727e-06,0,1.57079702861656,-2.28243724405203e-19,-2.35302726931099e-14
0.61,8.41999999999802,5.81020249484777e-06,0,-6.41250120016448e-12,9.37129434652719e-06,0,1.57079704021788,-2.45658275502829e-19,-2.53255898614636e-14
0.62,8.41999999999796,5.90391543831304e-06,0,-6.53330074628893e-12,9.37129434652711e-06,0,1.57079705168689,-2.62648699225211e-19,-2.70771829827335e-14
0.63,8.41999999999789,5.99762838177831e-06,0,-6.65335932419242e-12,9.37129434652702e-06,0,1.57079706302944,-2.79114074028078e-19,-2.87746477512257e-14
0.64,8.41999999999783,6.09134132524358e-06,0,-6.77267693179408e-12,9.37129434652694e-06,0,1.5707970742514,-2.94953478409216e-19,-3.04075798612374e-14
0.65,8.41999999999776,6.18505426870885e-06,0,-6.89125357117478e-12,9.37129434652685e-06,0,1.57079708535862,-3.10065990907471e-19,-3.1965575007057e-14
0.66,8.41999999999769,6.27876721217411e-06,0,-7.0090892423345e-12,9.37129434652677e-06,0,1.57079709635696,-3.24350690101873e-19,-3.34382288829647e-14
