time_gps_sec,pos_east_m,pos_north_m,pos_up_m,vel_east_mps,vel_north_mps,vel_up_mps
0.09,7.9385029465468,0.1608723602049,-0.300059142713252,-0.0466497801233707,0.044745908773228,0.103909065350496
0.19,8.04623681978274,-0.100460895328762,-0.0306445753246578,0.142719808586371,0.0399298485932853,-0.0822293276290175
0.29,8.82427758077782,-0.187957249878594,0.343860008563098,-0.0546732845367009,-0.00714969790881557,0.0970737823554689
0.39,8.33153062935215,-0.554833388670077,-0.168774802428487,-0.0145893944434142,0.133043803231571,0.0853086767518578
0.49,8.61097633896395,-0.0323642554911385,-0.268784002591673,0.123506017500927,-0.0773374479889763,-0.0809737610765752
0.59,8.23013554258802,-0.106782840925211,0.641203415389356,0.0186594789706609,0.0897533359477002,0.130936207782942
0.69,8.06391755886808,0.385027790903316,0.631053607720133,-0.0262617160366013,-0.0153073938163406,0.0506635026535164
0.79,8.25526547820711,0.0268538955319547,-0.324828788828853,-0.121714625828243,-0.148478775556221,-0.122512571743544
0.890000000000001,7.74576555558646,-0.0142788216841524,0.246499761748311,-0.14811040769134,-0.0467357677704744,-0.15518023941417
0.990000000000001,8.13086288616206,-0.0447142396673213,0.093393794070181,0.330081101626826,-0.0765618129495001,0.232063532135348
1.09,9.25900623034841,-0.167550772892861,0.334588732379672,-0.0778984033099021,0.160864405487888,0.0526011997212057
1.19,8.75753092843505,-0.212520583535908,-0.414319959659878,0.0817441767726111,0.0603864021987796,0.0852969530087173
1.29,8.47327914287488,-0.35047414431655,0.295869693900642,0.0309618587936532,-0.13028681451814,-0.089262265566066
1.39,8.28317763442311,-0.195856221748904,-0.333652834598723,-0.0067638283483348,0.0573914414050403,0.144185529943168
1.49,8.54410530188344,-0.308386683516483,-0.140753490109745,0.0337345636332503,-0.00207803293802012,-0.171144058255245
1.59,8.90852284226748,-0.304275772951511,0.0731530476316777,-0.0294080512327517,0.0269112077969711,-0.0498112145125511
1.69,8.02378060276622,0.153932349735462,0.00604678671359693,0.0699048683360482,-0.0204173312104749,-0.050032498462731
1.79,8.38228127853285,0.0867250402243403,0.0515511210963098,0.118116386631794,-0.0459938264055965,-0.0679488152459211
1.89,8.71273251608925,0.235977984130963,-0.0443653168201479,-0.0332765132827778,0.126098513491654,-0.0129721580194494
1.99,8.11586729422157,-0.00809973174699532,-0.21294615529925,-0.103651125454571,-0.00916265169889789,0.130467950286294
2.09,8.74855236437302,0.633915278985195,-0.418301293817166,0.0249302134801604,-0.0617798267144665,0.187973413931621
2.19,8.67797060034558,-0.494609118622109,0.464888685192165,0.0177306315267787,0.0500187216087172,-0.0980064257303274
2.29,8.19859421584712,0.392966755475862,0.42503522969335,0.0378327478064185,-0.0957345785681563,-0.117297048770748
2.38999999999999,7.8185576360283,0.296117635805659,0.149357233005759,0.123350395304342,0.0336739464229056,-0.0888374702292468
2.48999999999999,8.61018491534126,-0.023080202743998,-0.560903506544236,-0.127956699176946,-0.00848303210746813,0.164762519266785
2.58999999999999,8.79640923162959,-0.54262787182649,0.102066716919836,-0.024442006316206,0.0167689437423253,-0.0805075996175117
2.68999999999999,8.79463777358316,-0.0700132240507657,0.0916476098775831,0.0753820354285505,0.0884995027876391,0.0190112789938055
2.78999999999998,8.54918375105662,-0.312821526208756,-0.498566553187374,-0.236541615052684,0.128976516327783,0.107800634320016
2.88999999999998,8.13176224328238,0.100208219366591,-0.0234134450599583,-0.0370331277581869,0.0409075225683734,0.0512973736210533
2.98999999999998,8.64430622085052,0.113000872267425,-0.123117588651183,0.0610331842492805,-0.00963407105720921,0.232847954979711
3.08999999999998,7.82120224408239,0.38767231317289,-0.0202836684927377,-0.113004931918699,-0.0633808311040946,0.0402756838819793
3.18999999999998,8.98862091433356,-0.338349357151639,0.71118223648071,-0.0417685101562394,-0.0156535383092073,0.14495293028177
3.28999999999997,8.64502700553248,-0.0828544552474673,0.245146136540171,0.284040395380263,-0.0935075185916511,-0.0301313132253595
3.38999999999997,8.22404807151925,-0.240484678881286,0.244368885453042,-0.0588707526192127,-0.00288309608491185,-0.0459746998902481
3.48999999999997,9.19898813520504,-0.094691785245926,0.225593041437861,0.0254437288488446,-0.0350089259038634,-0.158974118375073
3.58999999999997,9.06278129604778,0.179616879206427,0.148654518458244,0.0524676501806981,0.021155879965644,0.0472254359747473
3.68999999999997,8.4149238853956,0.443232635091164,0.601666040527817,-0.132844647278111,0.119466607434699,0.146719868229229
3.78999999999996,8.26395355216747,-0.150255575182072,0.576179216425118,-0.0293518892350073,-0.0538241429223833,0.1333635071889
3.88999999999996,8.12769386743069,0.188565984094485,0.442898511695859,-0.107584937349133,0.0355264273653727,-0.145560402244
3.98999999999996,8.65432703983695,-0.0076585499922286,-0.24204991590679,0.192033348467511,-0.17291607499603,-0.0540657329567007
4.08999999999996,8.53196971612905,0.0132146034941339,0.0502886155575482,-0.0720737094592341,0.106259013175512,-0.0459890616030922
4.18999999999996,8.41620332887261,-0.0791933396550684,0.453940010438856,-0.0765925340548615,0.0747604253628821,-0.0500260714863253
4.28999999999995,7.93882048654285,0.00983529000490628,-0.122963933464888,-0.0324751526470888,-0.13897942156246,0.157955168104117
4.38999999999995,9.39450907833401,-0.211118883166054,0.524517657975849,-0.0523681626781319,0.102057783651198,-0.0594337921975855
4.48999999999995,8.55100122100035,-0.0280023532494157,0.0436301955908505,0.193469106536869,-0.00720672584516637,-0.0351539980870224
4.58999999999995,9.04950299086329,0.109909791000078,0.250342106255886,0.0249684887111469,-0.0865746520923917,-0.179644241593154
