time_imu_sec,ax_mpsps,ay_mpsps,az_mpsps,gx_radps,gy_radps,gz_radps
0,-0.0382848,-0.0143568,9.8679072,0.0174532925199433,0.0152716309549504,0.0174532925199433
0.01,0.0526416,-0.0311064,9.738696,0.0174532925199433,0.011999138607461,0.011999138607461
0.02,0.0741768,0.0047856,9.8200512,0.0185441233024398,0.0185441233024398,0.011999138607461
0.03,-0.0167496,0.0095712,9.7602312,0.0109083078249646,0.0130899693899575,0.011999138607461
0.04,0.0622128,0.0622128,9.7889448,0.011999138607461,0.0174532925199433,0.0174532925199433
0.05,-0.1124616,0.0287136,9.8009088,0.0152716309549504,0.0130899693899575,0.0163624617374468
0.06,0.035892,-0.05982,9.8559432,0.023998277214922,0.0174532925199433,0.0196349540849362
0.07,0.0885336,0.0143568,9.846372,0.0163624617374468,0.0141808001724539,0.0152716309549504
0.08,0.023928,0.0885336,9.7674096,0.0130899693899575,0.0196349540849362,0.0141808001724539
0.09,-0.0143568,0.0550344,9.8487648,0.0163624617374468,0.0163624617374468,0.0141808001724539
0.1,0.0095712,0.0095712,9.822444,0.0174532925199433,0.0152716309549504,0.011999138607461
0.11,0.0071784,0.0071784,9.834408,0.0141808001724539,0.0196349540849362,0.0141808001724539
0.12,0.0071784,-0.011964,9.822444,0.0141808001724539,0.0152716309549504,0.00545415391248228
0.13,-0.0071784,0.0693912,9.8128728,0.0163624617374468,0.0141808001724539,0.0141808001724539
0.14,0.0263208,0.011964,9.7913376,0.0185441233024398,0.0185441233024398,0.0130899693899575
0.15,-0.0406776,-0.0263208,9.7937304,0.0098174770424681,0.0152716309549504,0.00872664625997165
0.16,0.095712,0.1004976,9.8056944,0.0152716309549504,0.0174532925199433,0.0163624617374468
0.17,0.0550344,0.0167496,9.7817664,0.0163624617374468,0.011999138607461,0.0141808001724539
0.18,0,0.023928,9.714768,0.0174532925199433,0.0141808001724539,0.0196349540849362
0.19,0.0334992,0.0789624,9.7291248,0.0141808001724539,0.0196349540849362,0.011999138607461
0.2,-0.0143568,0.0813552,9.7650168,0.0174532925199433,0.0174532925199433,0.011999138607461
0.21,0.0095712,0.0741768,9.7841592,0.0130899693899575,0.0152716309549504,0.0185441233024398
0.22,0.0646056,-0.0071784,9.774588,0.0152716309549504,0.0152716309549504,0.0163624617374468
0.23,0.011964,-0.0263208,9.7841592,0.0174532925199433,0.0163624617374468,0.011999138607461
0.24,-0.0263208,0.0023928,9.8990136,0.011999138607461,0.0185441233024398,0.0130899693899575
0.25,-0.0167496,-0.0406776,9.7961232,0.011999138607461,0.0174532925199433,0.0130899693899575
0.26,0.0095712,-0.0143568,9.8200512,0.0207257848674327,0.0130899693899575,0.0130899693899575
0.27,-0.011964,-0.0047856,9.7913376,0.0141808001724539,0.0141808001724539,0.0141808001724539
0.28,0.1028904,-0.0382848,9.8894424,0.0152716309549504,0.0152716309549504,0.0130899693899575
0.29,0.0071784,-0.0382848,9.822444,0.011999138607461,0.0141808001724539,0.0141808001724539
0.3,0.0191424,-0.0287136,9.8248368,0.0207257848674327,0.0152716309549504,0.0109083078249646
0.31,-0.0071784,0.071784,9.8439792,0.0130899693899575,0.0174532925199433,0.0152716309549504
0.32,-0.0215352,-0.0622128,9.8080872,0.0196349540849362,0.0185441233024398,0.0163624617374468
0.33,-0.0382848,-0.0885336,9.7698024,0.0152716309549504,0.0163624617374468,0.011999138607461
0.34,0.0023928,0.083748,9.9037992,0.0152716309549504,0.0174532925199433,0.0152716309549504
0.35,0.0191424,0.071784,9.8033016,0.0109083078249646,0.0130899693899575,0.0163624617374468
0.36,-0.0454632,-0.0287136,9.7004112,0.0130899693899575,0.0163624617374468,0.0130899693899575
0.37,-0.0023928,-0.0574272,9.8200512,0.011999138607461,0.0207257848674327,0.0152716309549504
0.38,0.0669984,0.047856,9.8726928,0.0141808001724539,0.0185441233024398,0.011999138607461
0.39,0.0382848,0.0526416,9.7650168,0.0109083078249646,0.011999138607461,0.0141808001724539
0.4,-0.0885336,-0.0047856,9.8535504,0.0163624617374468,0.0163624617374468,0.0152716309549504
0.41,0.0215352,0.0526416,9.7817664,0.0185441233024398,0.0174532925199433,0.0185441233024398
0.42,0.0334992,-0.035892,9.858336,0.0174532925199433,0.0098174770424681,0.0174532925199433
0.43,-0.0191424,-0.0167496,9.8248368,0.0130899693899575,0.0163624617374468,0.0152716309549504
0.44,0.0813552,0.0167496,9.834408,0.0163624617374468,0.0174532925199433,0.0152716309549504
0.45,0.0023928,-0.0191424,9.8248368,0.0109083078249646,0.0130899693899575,0.0185441233024398
0.46,-0.0047856,0.047856,9.7961232,0.0141808001724539,0.0130899693899575,0.0141808001724539
0.47,0.0861408,-0.1148544,9.7674096,0.0130899693899575,0.0152716309549504,0.00872664625997165
0.48,0.0263208,0.0502488,9.7937304,0.0152716309549504,0.011999138607461,0.011999138607461
0.49,0.0095712,0.095712,9.8439792,0.0141808001724539,0.0174532925199433,0.0163624617374468
0.5,-0.0143568,0.0406776,9.7363032,0.0152716309549504,0.0130899693899575,0.0152716309549504
0.51,0.0502488,-0.1028904,9.7434816,0.0174532925199433,0.0163624617374468,0.0174532925199433
0.52,-0.0334992,-0.011964,9.81048,0.0130899693899575,0.0229074464324256,0.0163624617374468
0.53,-0.0287136,0.0143568,9.7339104,0.0130899693899575,0.0141808001724539,0.0130899693899575
0.54,0.0143568,-0.011964,9.9229416,0.0152716309549504,0.0152716309549504,0.011999138607461
0.55,-0.0047856,0.0622128,9.7530528,0.0152716309549504,0.0218166156499291,0.023998277214922
0.56,-0.0023928,-0.0909264,9.8415864,0.0141808001724539,0.0163624617374468,0.0141808001724539
0.57,-0.0167496,-0.0095712,9.798516,0.0141808001724539,0.0141808001724539,0.011999138607461
0.58,-0.0574272,0.1100688,9.8176584,0.0163624617374468,0.011999138607461,0.0098174770424681
0.59,0.0023928,0.0263208,9.7530528,0.0141808001724539,0.0098174770424681,0.0152716309549504
0.6,-0.0311064,-0.0215352,9.8368008,0.0174532925199433,0.0174532925199433,0.011999138607461
0.61,-0.0191424,0.0047856,9.81048,0.0152716309549504,0.011999138607461,0.0109083078249646
0.62,0.0047856,0.0311064,9.7961232,0.0152716309549504,0.0130899693899575,0.0163624617374468
0.63,0.0502488,-0.023928,9.8559432,0.00763581547747519,0.0098174770424681,0.0163624617374468
0.64,0.0382848,0.0191424,9.8511576,0.0174532925199433,0.0185441233024398,0.0152716309549504
0.65,-0.0406776,-0.0311064,9.7099824,0.0174532925199433,0.0163624617374468,0.0174532925199433
0.66,-0.0311064,0.0382848,9.8559432,0.011999138607461,0.0152716309549504,0.0141808001724539
0.67,-0.071784,-0.0454632,9.8009088,0.0207257848674327,0.0152716309549504,0.0229074464324256
0.68,-0.035892,0.0574272,9.822444,0.0174532925199433,0.0207257848674327,0.0152716309549504
0.69,-0.0071784,0.0287136,9.738696,0.0163624617374468,0.0163624617374468,0.011999138607461
0.7,0.0095712,-0.0263208,9.7363032,0.011999138607461,0.0141808001724539,0.0130899693899575
0.71,-0.0191424,-0.0550344,9.7817664,0.0141808001724539,0.0130899693899575,0.0130899693899575
0.72,-0.0143568,-0.0023928,9.834408,0.0163624617374468,0.0185441233024398,0.0185441233024398
0.73,-0.0191424,-0.0502488,9.8033016,0.0152716309549504,0.0141808001724539,0.0152716309549504
0.74,-0.023928,0.0191424,9.8176584,0.0174532925199433,0.0174532925199433,0.011999138607461
0.75,0.0334992,-0.0909264,9.906192,0.0152716309549504,0.0098174770424681,0.00763581547747519
0.76,-0.0622128,0.0382848,9.8080872,0.0196349540849362,0.0152716309549504,0.011999138607461
0.77,-0.0023928,0.0334992,9.7769808,0.0152716309549504,0.0152716309549504,0.0163624617374468
0.78,0.0095712,0.0215352,9.8248368,0.0109083078249646,0.0130899693899575,0.011999138607461
0.79,-0.047856,0.0693912,9.8272296,0.00872664625997165,0.0163624617374468,0.0207257848674327
0.8,-0.0526416,0.0741768,9.7913376,0.011999138607461,0.0174532925199433,0.0207257848674327
0.81,0.0287136,-0.0263208,9.8128728,0.011999138607461,0.0141808001724539,0.0141808001724539
0.820000000000001,0.011964,-0.155532,9.6621264,0.0163624617374468,0.0152716309549504,0.0141808001724539
0.830000000000001,-0.0263208,0.071784,9.8080872,0.0152716309549504,0.011999138607461,0.00872664625997165
0.840000000000001,-0.0406776,0.0622128,9.81048,0.0163624617374468,0.00763581547747519,0.0109083078249646
0.850000000000001,0.0215352,-0.0191424,9.8200512,0.011999138607461,0.0163624617374468,0.00872664625997165
0.860000000000001,0,-0.0191424,9.8511576,0.0109083078249646,0.0196349540849362,0.0163624617374468
0.870000000000001,-0.0334992,-0.0143568,9.834408,0.0152716309549504,0.00872664625997165,0.0163624617374468
0.880000000000001,0.0023928,-0.0143568,9.8655144,0.0130899693899575,0.0196349540849362,0.0229074464324256
0.890000000000001,0.0406776,-0.0095712,9.8391936,0.011999138607461,0.0130899693899575,0.011999138607461
0.900000000000001,0.035892,-0.0047856,9.7913376,0.0141808001724539,0.011999138607461,0.011999138607461
0.910000000000001,-0.023928,0.0071784,9.7817664,0.0109083078249646,0.0141808001724539,0.0185441233024398
0.920000000000001,-0.0047856,-0.0406776,9.7817664,0.0152716309549504,0.0174532925199433,0.0152716309549504
0.930000000000001,-0.0095712,0.0047856,9.8080872,0.0130899693899575,0.0163624617374468,0.011999138607461
0.940000000000001,0.0095712,0.0454632,9.7410888,0.0141808001724539,0.0185441233024398,0.0207257848674327
0.950000000000001,-0.0311064,-0.0454632,9.8033016,0.0098174770424681,0.0218166156499291,0.0174532925199433
0.960000000000001,0.0071784,0.0023928,9.8535504,0.0185441233024398,0.0152716309549504,0.0130899693899575
0.970000000000001,-0.0382848,0.0622128,9.8009088,0.0163624617374468,0.0141808001724539,0.0174532925199433
0.980000000000001,-0.0430704,-0.0023928,9.8296224,0.0109083078249646,0.0174532925199433,0.0174532925199433
0.990000000000001,0.0526416,-0.0263208,9.834408,0.011999138607461,0.0174532925199433,0.0152716309549504
1,-0.0550344,0.0071784,9.8703,0.0141808001724539,0.0130899693899575,0.0141808001724539
1.01,0.0311064,-0.0215352,9.786552,0.0196349540849362,0.0196349540849362,0.0152716309549504
1.02,-0.0502488,-0.0334992,9.7602312,0.0185441233024398,0.0174532925199433,0.0130899693899575
1.03,-0.0071784,0.0167496,9.8033016,0.0174532925199433,0.0174532925199433,0.0098174770424681
1.04,-0.0263208,-0.071784,9.8368008,0.0152716309549504,0.0130899693899575,0.0185441233024398
1.05,0.023928,-0.0502488,9.786552,0.0141808001724539,0.0174532925199433,0.0174532925199433
1.06,-0.0071784,-0.0406776,9.8439792,0.0141808001724539,0.0141808001724539,0.0163624617374468
1.07,-0.011964,-0.011964,9.7578384,0.0130899693899575,0.0163624617374468,0.0163624617374468
