Time, Roll, Pitch, Yaw, Vx, Vy, Vz, Px, Py, Pz
0.0, -0.0708545959015518, -0.1651901639360772, 124.87502885839797, -0.04648045361556903, 0.04438581396701358, 0.10489350596937493, 7.9354817809708145, 0.16375737708379606, -0.2932411008821703
0.01, -0.09086119905095566, -0.10600999561391641, 130.1348585123049, -0.04624318975944892, 0.04429379992843167, 0.10581685368983097, 7.932596349211254, 0.16691685965842762, -0.28696569895761187
0.02, -0.11941469748329377, 0.04527625763436615, 133.84957519717705, -0.046228354603352236, 0.05331246876202522, 0.1034561675659978, 7.938446543639511, 0.1676036813658142, -0.28278830842702896
0.03, -0.06602492439017395, 0.038929001217253706, 128.53365778874027, -0.02773397797372014, 0.05623886387150063, 0.0771380450471242, 7.942079150058517, 0.1879851875887087, -0.2805186432214099
0.04, 0.0042207257101309495, 0.09326751758743658, 116.3600613422885, -0.027959512065045627, 0.05651145595072277, 0.052325939299232946, 7.9414767677468, 0.18911842959377273, -0.2792404005934861
0.05, 0.025996865500455494, -0.01406953536571827, 116.34388569467845, -0.028079767762480435, 0.05674203742069032, 0.02769593843730069, 7.941013191168531, 0.18995479889057998, -0.27860545638302087
0.06, -0.022923004976228765, 0.014013924905216345, 116.26829699711516, -0.028066746002199973, 0.05687829439692433, 0.002988473322768962, 7.940634117977662, 0.19066394762651734, -0.27851806143571806
0.07, -0.012199925922650312, 0.07053582173898247, 116.26998228787421, -0.028149016194606462, 0.0570290985962335, -0.021638468800908996, 7.940289488373984, 0.19133232993708316, -0.27887495428146386
0.08, 0.04061736430285261, 0.0777906177016691, 116.32477674225596, -0.028304806661912117, 0.05720232437429279, -0.0463765225071242, 7.939957292885233, 0.19198080087643288, -0.2796316370814941
0.09, -0.038060537281202886, 0.009427293276132141, 136.18489079286667, -0.03240346863744398, 0.054609771359283084, 0.10262654174061091, 7.939020837328312, 0.1911073657822899, -0.28260140691882607
0.1, 0.0648268858169466, 0.062481496493050716, 120.81809656498925, -0.03259035611840063, 0.054569731604638565, 0.07772470677978159, 7.938783534221975, 0.19274935661038772, -0.28152543729417995
0.11, 0.06256491411178884, 0.06098482324945264, 120.83709805717643, -0.03273259768233304, 0.05457625596850846, 0.053082177300566045, 7.93897789674603, 0.19425086863529967, -0.28076023829356994
0.12, 0.052754942922226794, 0.059687132027675664, 120.93571535298742, -0.032777143255892885, 0.054805992322677785, 0.028325964849888162, 7.938494932186899, 0.19485207683684297, -0.2802936977433335
0.13, 0.07745347471770805, 0.052578847849196725, 120.90236590250508, -0.032855082434659476, 0.05495661331054655, 0.003680519574435421, 7.9381022170366, 0.19551048915107822, -0.2801794816516442
0.14, 0.07686036689544717, 0.059504943937772815, 120.86503006825438, -0.032833478335118585, 0.05493717266958962, -0.02110492626304384, 7.937187000885084, 0.19868884405528933, -0.28155324436550505
